"ID","Bug Line","Explanation"
"16","5,10","VTT mode required for copyLabel; VTT mode required for copyLabel"
"32","2,3,5","vForce value exceeds documented range.; Extra burst() call after burst().; Extra burst() call after burst()."
"25","5,7","RDI_END() called before RDI_BEGIN() - wrong lifecycle order.; RDI_BEGIN() called after RDI_END() - wrong lifecycle order."
"10","2,4","Wrong function name: readHumanSeniority should be readHumSensor; Wrong function name: getHumanSeniority should be getHumSensor"
"26","5,9","addWaveform() cannot be used in parallel with force.; iMeas() should follow addWaveform()."
"23","25,30","Incorrect method chaining: rdi.burstUpload.smartVec().end() should be rdi.smartVec().burstUpload().end(); ON_FIRST_INVOCATION_END() should be outside RDI_BEGIN()/RDI_END() block"
"4","3,4","iClamp args swapped: iClamp(50 mA, -50 mA) should be iClamp(-50 mA, 50 mA); iClamp args swapped: iClamp(-5 uA, 5 uA) should be iClamp(5 uA, -5 uA)"
"31","2,5,6,9","Wrong function call: burst() should be push_back(); Method does not exist: push_forward() should be push_back(); Method does not exist: push_forward() should be push_back(); Function name typo: func(""idd"") should be func(""id1"")"
"17","8","Wrong function call: getFFC should be getFFV"
"27","2,5","Wrong function name: imeasRange should be iMeasRange; Wrong API call: write() should be execute()"
"24","3,6","interS should be interSkip; Pin name mismatch: 'D0' vs 'DO'"
"14","7,8","getAlarmValue should be getAlarmPassFail; getAlarmBurstValue should be getAlarmPassFail"
"9","3","Extra .end() call; remove one."
"13","3,4,5","getVesjkctor should be getVector; getVslkhalue should be getValue; getWlkjnaveform should be getWaveform"
"22","3,7","Extra parameter: readTempThresh() does not take arguments; Correct module ID: '02' should match line 3"
"29","4,5,6","Missing execute() after retrievePmuxPinStatus; Missing execute() after retrievePmuxPinStatus; Pin P0x08F1 not defined in setup"
"2","3,4","iClamp args swapped: iClamp(-50 mA, 50 mA) should be iClamp(50 mA, -50 mA); vForceRange exceeds max: vForceRange(30 V) should be vForceRange(35 V)"
"20","5","Sample count exceeds maximum of 8192"
"11","2,3","iMeans() should be iMeas(); iForce() should be vForce()"
"3","4,5","vForceRange exceeds max 30 V; iClamp args swapped: iClamp(-50 mA, 50 mA)"
